experiment,participant,orientation,regularity,variability,condition,RTs
exp1,14,inverted,irregular,low,inverted_irregular_low,385.5
exp1,14,upright,angry,high,upright_angry_high,394
exp1,14,upright,neutral,high,upright_neutral_high,479.5
exp1,14,upright,irregular,high,upright_irregular_high,379
exp1,14,inverted,angry,high,inverted_angry_high,734
exp1,14,inverted,neutral,high,inverted_neutral_high,481.5
exp1,14,inverted,irregular,high,inverted_irregular_high,518
exp1,15,upright,angry,low,upright_angry_low,680
exp1,15,upright,neutral,low,upright_neutral_low,475
exp1,15,upright,irregular,low,upright_irregular_low,519.5
exp1,15,inverted,angry,low,inverted_angry_low,469
exp1,15,inverted,neutral,low,inverted_neutral_low,453
exp1,15,inverted,irregular,low,inverted_irregular_low,540
exp1,15,upright,angry,high,upright_angry_high,602
exp1,15,upright,neutral,high,upright_neutral_high,496
exp1,15,upright,irregular,high,upright_irregular_high,551
exp1,15,inverted,angry,high,inverted_angry_high,481
exp1,15,inverted,neutral,high,inverted_neutral_high,454.5
exp1,15,inverted,irregular,high,inverted_irregular_high,312
exp1,16,upright,angry,low,upright_angry_low,481
exp1,16,upright,neutral,low,upright_neutral_low,610
exp1,16,upright,irregular,low,upright_irregular_low,404
exp1,16,inverted,angry,low,inverted_angry_low,688
exp1,16,inverted,neutral,low,inverted_neutral_low,520
exp1,16,inverted,irregular,low,inverted_irregular_low,734
exp1,16,upright,angry,high,upright_angry_high,498
exp1,16,upright,neutral,high,upright_neutral_high,521
exp1,16,upright,irregular,high,upright_irregular_high,354
exp1,16,inverted,angry,high,inverted_angry_high,496
exp1,16,inverted,neutral,high,inverted_neutral_high,350.5
exp1,16,inverted,irregular,high,inverted_irregular_high,711
exp1,17,upright,angry,low,upright_angry_low,565
exp1,17,upright,neutral,low,upright_neutral_low,643.5
exp1,17,upright,irregular,low,upright_irregular_low,556
exp1,17,inverted,angry,low,inverted_angry_low,537
exp1,17,inverted,neutral,low,inverted_neutral_low,600.5
exp1,17,inverted,irregular,low,inverted_irregular_low,396
exp1,17,upright,angry,high,upright_angry_high,646
exp1,17,upright,neutral,high,upright_neutral_high,589
exp1,17,upright,irregular,high,upright_irregular_high,736
exp1,17,inverted,angry,high,inverted_angry_high,591.5
exp1,17,inverted,neutral,high,inverted_neutral_high,631.5
exp1,17,inverted,irregular,high,inverted_irregular_high,681
exp1,18,upright,angry,low,upright_angry_low,453
exp1,18,upright,neutral,low,upright_neutral_low,514
exp1,18,upright,irregular,low,upright_irregular_low,615
exp1,18,inverted,angry,low,inverted_angry_low,421
exp1,18,inverted,neutral,low,inverted_neutral_low,656.5
exp1,18,inverted,irregular,low,inverted_irregular_low,711
exp1,18,upright,angry,high,upright_angry_high,679
exp1,18,upright,neutral,high,upright_neutral_high,639
exp1,18,upright,irregular,high,upright_irregular_high,736
exp1,18,inverted,angry,high,inverted_angry_high,454
